date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:18	1116906/1116906	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:17%20GMT	https://the-everest.amenitiz.io/es/booking/room	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/booking/room.html	(from https://the-everest.amenitiz.io/es)
14:18:19	755062/755062	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:18%20GMT	https://the-everest.amenitiz.io/es/habitaciones	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/habitaciones.html	(from https://the-everest.amenitiz.io/es)
14:18:20	753086/753086	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:19%20GMT	https://the-everest.amenitiz.io/es/pagina/beach-club	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/pagina/beach-club.html	(from https://the-everest.amenitiz.io/es)
14:18:21	764894/764894	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:20%20GMT	https://the-everest.amenitiz.io/es/pagina/restaurant	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/pagina/restaurant.html	(from https://the-everest.amenitiz.io/es)
14:18:22	760738/760738	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:21%20GMT	https://the-everest.amenitiz.io/es/contactar	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/contactar.html	(from https://the-everest.amenitiz.io/es)
14:18:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:18:23%20GMT	https://the-everest.amenitiz.io/'https://res.cloudinary.com/amenitiz/image/upload/e_blur:500,o_50,c_scale,q_auto:low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/'https_/res.cloudinary.com/amenitiz/image/upload/e_blur_500,o_50,c_scale,q_auto_low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	(from https://the-everest.amenitiz.io/es)
14:18:24	786585/786585	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:22%20GMT	https://the-everest.amenitiz.io/es/pagina/nettoyage%20des%20chambres%20en%20p%c3%a9riode%20covid%2019	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/pagina/nettoyage%20des%20chambres%20en%20p%c3%a9riode%20covid%2019.html	(from https://the-everest.amenitiz.io/es)
14:18:24	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2008%20Feb%202024%2013:18:24%20GMT	https://the-everest.amenitiz.io/es/habitacion/premium-apartment	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/habitacion/premium-apartment	(from https://the-everest.amenitiz.io/es)
14:18:25	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2008%20Feb%202024%2013:18:25%20GMT	https://the-everest.amenitiz.io/es/habitacion/premium-rooms	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/habitacion/premium-rooms	(from https://the-everest.amenitiz.io/es)
14:18:26	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2008%20Feb%202024%2013:18:26%20GMT	https://the-everest.amenitiz.io/es/habitacion/deluxe-villa	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/habitacion/deluxe-villa	(from https://the-everest.amenitiz.io/es)
14:18:28	755065/755065	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:27%20GMT	https://the-everest.amenitiz.io/es/habitaciones.es	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es/habitaciones-2.html	(from https://the-everest.amenitiz.io/es)
14:18:29	855649/855649	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:28%20GMT	https://the-everest.amenitiz.io/en?origin_locale=es	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en2e0f.html	(from https://the-everest.amenitiz.io/es)
14:18:30	856479/856479	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:29%20GMT	https://the-everest.amenitiz.io/fr?origin_locale=es	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr2e0f.html	(from https://the-everest.amenitiz.io/es)
14:18:31	855313/855313	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:30%20GMT	https://the-everest.amenitiz.io/es?origin_locale=es	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es2e0f.html	(from https://the-everest.amenitiz.io/es)
